n_real,generador,ratio,seed,n_synth,n_train,val_mse,test_mse,test_mae,test_r2,epoca_mejor,segundos,receta
250,ninguno,0.0,0,0,250,0.46965229511260986,0.1768205761909485,0.3177157938480377,0.24148142337799072,52,5.1,f16761a9
250,ninguno,0.0,1,0,250,0.6680181622505188,0.2279849648475647,0.36299455165863037,0.021998286247253418,99,3.0,f16761a9
250,ninguno,0.0,2,0,250,0.5470349192619324,0.18863822519779205,0.3334825038909912,0.1907864809036255,99,3.0,f16761a9
250,jitter,2.0,0,500,750,0.5862730145454407,0.20419658720493317,0.3354671001434326,0.12404483556747437,99,3.8,f16761a9
250,jitter,2.0,1,500,750,0.6671355366706848,0.22735151648521423,0.36240655183792114,0.0247156023979187,99,3.8,f16761a9
250,jitter,2.0,2,500,750,0.4899440407752991,0.1752241849899292,0.32011672854423523,0.24832957983016968,67,3.8,f16761a9
250,gaussiana,2.0,0,500,750,0.7718908786773682,0.2549547553062439,0.38339564204216003,-0.0936957597732544,99,3.8,f16761a9
250,gaussiana,2.0,1,500,750,0.6846004724502563,0.2337038218975067,0.37234342098236084,-0.0025342702865600586,5,3.8,f16761a9
250,gaussiana,2.0,2,500,750,0.6247273087501526,0.2111196517944336,0.3510933518409729,0.09434646368026733,99,3.9,f16761a9
250,block_bootstrap,2.0,0,500,750,0.5654500126838684,0.19531723856925964,0.330970823764801,0.16213512420654297,73,4.0,f16761a9
250,block_bootstrap,2.0,1,500,750,0.6840348243713379,0.23349015414714813,0.37229326367378235,-0.0016176700592041016,5,3.9,f16761a9
250,block_bootstrap,2.0,2,500,750,0.5848633646965027,0.19474506378173828,0.3373553454875946,0.16458958387374878,99,4.1,f16761a9
250,vae,2.0,0,500,750,0.5285210013389587,0.18631675839424133,0.32110512256622314,0.20074504613876343,60,4.0,f16761a9
250,vae,2.0,1,500,750,0.6857519149780273,0.23412369191646576,0.37256282567977905,-0.0043354034423828125,6,4.0,f16761a9
250,vae,2.0,2,500,750,0.6530047059059143,0.22211822867393494,0.3616989552974701,0.04716521501541138,99,3.9,f16761a9
250,wgan_gp,2.0,0,500,750,0.8463321328163147,0.2794335186481476,0.4026891887187958,-0.19870388507843018,0,4.5,f16761a9
250,wgan_gp,2.0,1,500,750,0.6854034066200256,0.23395182192325592,0.3738301694393158,-0.0035980939865112305,7,4.6,f16761a9
250,wgan_gp,2.0,2,500,750,0.8522878885269165,0.2810620069503784,0.40394651889801025,-0.2056896686553955,0,4.5,f16761a9
250,realnvp,2.0,0,500,750,0.4554033577442169,0.17071965336799622,0.3092539608478546,0.2676529288291931,88,4.1,f16761a9
250,realnvp,2.0,1,500,750,0.6860559582710266,0.23422466218471527,0.37257125973701477,-0.0047686100006103516,6,4.2,f16761a9
250,realnvp,2.0,2,500,750,0.6265804767608643,0.21389028429985046,0.3573620915412903,0.08246111869812012,99,4.1,f16761a9
250,jitter,4.0,0,1000,1250,0.5152246952056885,0.18639008700847626,0.32034942507743835,0.2004305124282837,42,4.6,f16761a9
250,jitter,4.0,1,1000,1250,0.5926862359046936,0.20621755719184875,0.337534099817276,0.1153753399848938,83,4.6,f16761a9
250,jitter,4.0,2,1000,1250,0.45397207140922546,0.169325590133667,0.306369811296463,0.2736331820487976,34,4.6,f16761a9
250,gaussiana,4.0,0,1000,1250,0.5159879922866821,0.18387624621391296,0.31909191608428955,0.21121430397033691,71,4.6,f16761a9
250,gaussiana,4.0,1,1000,1250,0.641018807888031,0.22082962095737457,0.35852816700935364,0.05269300937652588,99,4.7,f16761a9
250,gaussiana,4.0,2,1000,1250,0.5975614190101624,0.2063988298177719,0.3475807011127472,0.11459767818450928,99,4.7,f16761a9
250,block_bootstrap,4.0,0,1000,1250,0.571503221988678,0.19702009856700897,0.3332813084125519,0.15483027696609497,49,4.7,f16761a9
250,block_bootstrap,4.0,1,1000,1250,0.5927310585975647,0.2050369381904602,0.3494319021701813,0.12043988704681396,99,4.7,f16761a9
250,block_bootstrap,4.0,2,1000,1250,0.5250417590141296,0.18228714168071747,0.32838910818099976,0.2180311679840088,64,4.7,f16761a9
250,vae,4.0,0,1000,1250,0.7184293270111084,0.23867762088775635,0.3695351183414459,-0.02387070655822754,86,4.8,f16761a9
250,vae,4.0,1,1000,1250,0.6349903345108032,0.218319371342659,0.3586574196815491,0.06346142292022705,99,4.8,f16761a9
250,vae,4.0,2,1000,1250,0.480363667011261,0.17449244856834412,0.313903272151947,0.2514685392379761,99,4.8,f16761a9
250,wgan_gp,4.0,0,1000,1250,0.8923496603965759,0.29229316115379333,0.41260313987731934,-0.2538686990737915,0,5.4,f16761a9
250,wgan_gp,4.0,1,1000,1250,0.6853764653205872,0.23396310210227966,0.3737304210662842,-0.0036464929580688477,3,5.4,f16761a9
250,wgan_gp,4.0,2,1000,1250,0.731181263923645,0.2706722021102905,0.39095979928970337,-0.16111993789672852,93,5.4,f16761a9
250,realnvp,4.0,0,1000,1250,0.44597625732421875,0.16919389367103577,0.30873945355415344,0.27419811487197876,43,4.9,f16761a9
250,realnvp,4.0,1,1000,1250,0.6693923473358154,0.2308284193277359,0.37292852997779846,0.009800553321838379,91,4.9,f16761a9
250,realnvp,4.0,2,1000,1250,0.5428166389465332,0.19001668691635132,0.3374280631542206,0.18487322330474854,53,4.9,f16761a9
250,jitter,12.0,0,3000,3250,0.46876201033592224,0.17536430060863495,0.3112940192222595,0.24772852659225464,58,7.9,f16761a9
250,jitter,12.0,1,3000,3250,0.4733238220214844,0.18011027574539185,0.31927743554115295,0.22736942768096924,59,7.9,f16761a9
