n_real,generador,ratio,test_r2_media,test_r2_sd,test_mse_media,n_train,n_seeds
250,block_bootstrap,2.0,0.17643616596857703,0.02160227803911584,0.19198347628116608,750,3
250,block_bootstrap,4.0,0.19889563322067252,0.044188187249631354,0.18674788375695542,1250,3
250,block_bootstrap,12.0,0.19676057497660313,0.05493794104278754,0.18724558750788367,3250,3
250,block_bootstrap,28.0,0.19697280724843338,0.04997775105716003,0.1871961156527201,7250,3
250,block_bootstrap,80.0,0.23829336961110428,0.0554212658538925,0.17756375670433036,20250,3
250,gaussiana,2.0,0.19792999823888136,0.024200764049920675,0.18697298566500342,750,3
250,gaussiana,4.0,0.19157741467157996,0.007847542420938703,0.18845385313034055,1250,3
250,gaussiana,12.0,0.19121539592742917,0.015756169688968587,0.18853824834028876,3250,3
250,gaussiana,28.0,0.14808581272761023,0.06134048650102086,0.19859231511751807,7250,3
250,gaussiana,80.0,0.11230464776357012,0.0815495261427121,0.20693337420622504,20250,3
250,jitter,2.0,0.23115404446919752,0.03031022429898413,0.1792280276616414,750,3
250,jitter,4.0,0.25114866097768146,0.04319710205457674,0.1745670189460118,1250,3
250,jitter,12.0,0.28305313984553016,0.022917965116535828,0.1671296705802281,3250,3
250,jitter,28.0,0.256620983282725,0.028293864446617398,0.17329135040442142,7250,3
250,jitter,80.0,0.2733101447423299,0.039346970127799405,0.1694008906682332,20250,3
250,ninguno,0.0,0.22994792461395264,0.03573308296479382,0.17950918773810068,250,3
250,realnvp,2.0,0.2093188365300496,0.09579367387509118,0.1843180954456329,750,3
250,realnvp,4.0,0.22593416770299268,0.09351632490475657,0.18044484655062354,1250,3
250,realnvp,12.0,0.22284493843714392,0.09738853659949963,0.18116498490174604,3250,3
250,realnvp,28.0,0.2134704192479451,0.10398268907885624,0.18335030972957608,7250,3
250,realnvp,80.0,0.19627477725346879,0.11504230171638175,0.18735883633295694,20250,3
250,vae,2.0,0.20896051327387485,0.047186402726731386,0.1844016263882319,750,3
250,vae,4.0,0.21073673168818152,0.04460967621822378,0.18398756782213843,1250,3
250,vae,12.0,0.17601348956425986,0.051498551961341704,0.19208200772603345,3250,3
250,vae,28.0,0.1757944424947102,0.06423238674611012,0.1921330740054448,7250,3
250,vae,80.0,0.14222876230875647,0.1315476994426957,0.19995766878128052,20250,3
250,wgan_gp,2.0,-0.0271113117535909,0.2026554970674112,0.23943306008974707,750,3
250,wgan_gp,4.0,-0.018425901730855333,0.3156281038982657,0.2374083697795868,1250,3
250,wgan_gp,12.0,0.08967888355255127,0.2777635415972046,0.21220772961775458,3250,3
250,wgan_gp,28.0,0.17078508933385214,0.182557268638493,0.19330082337061558,7250,3
250,wgan_gp,80.0,0.26419277985890705,0.06554582545179254,0.17152626315752664,20250,3
1000,block_bootstrap,0.5,0.2852003971735636,0.05180187633775561,0.16662911574045813,1500,3
1000,block_bootstrap,1.0,0.2698548634847005,0.05846106427647358,0.17020635803540543,2000,3
1000,block_bootstrap,3.0,0.27574074268341064,0.0696753768205391,0.1688342839479446,4000,3
1000,block_bootstrap,7.0,0.30175322294235224,0.022452212477648854,0.16277043521404264,8000,3
1000,block_bootstrap,20.0,0.30654118458429974,0.0192337320291582,0.16165429850419358,21000,3
1000,gaussiana,0.5,0.2486825784047444,0.03043854005655602,0.17514189084370926,1500,3
1000,gaussiana,1.0,0.22641338904698685,0.030851180052036114,0.18033313254515326,2000,3
1000,gaussiana,3.0,0.21970130999883017,0.03665910315560355,0.18189780414104462,4000,3
1000,gaussiana,7.0,0.18578839302062986,0.02955465659594164,0.1898033519585927,8000,3
1000,gaussiana,20.0,0.16480644543965656,0.036448024790073655,0.19469451407591498,21000,3
1000,jitter,0.5,0.3096337517102559,0.027505450256269125,0.16093338032563523,1500,3
1000,jitter,1.0,0.3123832941055298,0.030217548881486554,0.1602924267450968,2000,3
1000,jitter,3.0,0.3427997827529907,0.01363505399683163,0.1532019476095835,4000,3
1000,jitter,7.0,0.3415000041325887,0.0029327738794117765,0.15350494285424546,8000,3
1000,jitter,20.0,0.334859808286031,0.03025879586860374,0.15505286057790116,21000,3
1000,ninguno,0.0,0.2557342449824015,0.03464227168796148,0.17349806427955625,1000,3
1000,realnvp,0.5,0.32879459857940674,0.028563295566836573,0.15646674235661825,1500,3
1000,realnvp,1.0,0.33347654342651367,0.03438738816241567,0.15537531673908225,2000,3
1000,realnvp,3.0,0.3338608145713806,0.004772477441977945,0.1552857359250386,4000,3
1000,realnvp,7.0,0.32795766989390057,0.004036900115153568,0.15666183829307553,8000,3
1000,realnvp,20.0,0.3018823663393656,0.03942851527810452,0.16274032990137732,21000,3
1000,vae,0.5,0.2826312979062398,0.04234486434931974,0.16722800831000004,1500,3
1000,vae,1.0,0.2548739314079284,0.03801870744894179,0.17369861404101053,2000,3
1000,vae,3.0,0.2670741279919942,0.037629328999789165,0.17085458338260648,4000,3
1000,vae,7.0,0.2679557601610819,0.032841039813235176,0.17064906656742096,8000,3
1000,vae,20.0,0.2172151605288187,0.053759562093535135,0.18247735997041062,21000,3
1000,wgan_gp,0.5,0.286489725112915,0.04039178910564763,0.16632855435212449,1500,3
1000,wgan_gp,1.0,0.27144267161687213,0.04909189383578132,0.16983622312545768,2000,3
1000,wgan_gp,3.0,0.31868541240692133,0.02766791579338093,0.15882332126299537,4000,3
1000,wgan_gp,7.0,0.32334583997726435,0.03321642345190312,0.15773691236972806,8000,3
1000,wgan_gp,20.0,0.3107496897379557,0.030713730996907693,0.1606732408205668,21000,3
3000,block_bootstrap,0.1666666666666666,0.36264747381210327,0.029313650855370545,0.14857519169648484,3500,3
3000,block_bootstrap,0.3333333333333333,0.3539433677991231,0.021358657841243064,0.1506042331457138,4000,3
3000,block_bootstrap,1.0,0.3568959633509318,0.02328677415157548,0.1499159435431162,6000,3
3000,block_bootstrap,2.333333333333333,0.34841201702753705,0.02305564351132318,0.15189366539319352,10000,3
3000,block_bootstrap,6.666666666666667,0.33606906731923414,0.01107786223456482,0.1547709653774897,23000,3
3000,gaussiana,0.1666666666666666,0.33373292287190753,0.008032306419336747,0.15531555314858755,3500,3
3000,gaussiana,0.3333333333333333,0.3203620910644531,0.011245184568210661,0.15843246877193448,4000,3
3000,gaussiana,1.0,0.2784378925959269,0.027373154261508447,0.16820553938547766,6000,3
3000,gaussiana,2.333333333333333,0.25728730360666907,0.03507341698877474,0.17313602070013678,10000,3
3000,gaussiana,6.666666666666667,0.23958367109298706,0.04267273826787048,0.17726297179857886,23000,3
3000,jitter,0.1666666666666666,0.36340006192525226,0.018452887404873195,0.14839975535869596,3500,3
3000,jitter,0.3333333333333333,0.35826168457667035,0.02456298441946408,0.14959757030010223,4000,3
3000,jitter,1.0,0.3700774908065796,0.024814199537528638,0.14684315522511796,6000,3
3000,jitter,2.333333333333333,0.37708063920338947,0.026307961704907103,0.14521063367525733,10000,3
3000,jitter,6.666666666666667,0.37793852885564166,0.024714885282466556,0.1450106451908747,23000,3
3000,ninguno,0.0,0.349059263865153,0.026292565647032615,0.15174278120199833,3000,3
3000,realnvp,0.1666666666666666,0.38557469844818115,0.014891097963741199,0.14323055744171134,3500,3
3000,realnvp,0.3333333333333333,0.3848527471224467,0.01585414818213387,0.14339885612328848,4000,3
3000,realnvp,1.0,0.3897904356320699,0.02863755398288945,0.14224781095981595,6000,3
3000,realnvp,2.333333333333333,0.39538158973058063,0.012534199815169678,0.14094444612661994,10000,3
3000,realnvp,6.666666666666667,0.3929752508799235,0.023086394277954548,0.14150539040565482,23000,3
3000,vae,0.1666666666666666,0.35766077041625977,0.007586112767647202,0.1497376561164855,3500,3
3000,vae,0.3333333333333333,0.34426923592885333,0.009658535600104153,0.15285939971605933,4000,3
3000,vae,1.0,0.32179164886474604,0.007915063659780792,0.15809921920299527,6000,3
3000,vae,2.333333333333333,0.31658315658569336,0.036824172861483845,0.15931338568528494,10000,3
3000,vae,6.666666666666667,0.3069962660471598,0.005471867744635977,0.16154821217060086,23000,3
3000,wgan_gp,0.1666666666666666,0.35652877887090045,0.033061383018797276,0.15000154078006744,3500,3
3000,wgan_gp,0.3333333333333333,0.3438095649083455,0.034944462371176294,0.15296655396620432,4000,3
3000,wgan_gp,1.0,0.30881404876708984,0.0487802573116277,0.1611244628826777,6000,3
3000,wgan_gp,2.333333333333333,0.2742520173390706,0.07650509780795706,0.16918132702509558,10000,3
3000,wgan_gp,6.666666666666667,0.25446204344431556,0.06201781016687921,0.1737946271896362,23000,3
10000,block_bootstrap,0.05,0.423016885916392,0.015165960959449257,0.1345022916793823,10500,3
10000,block_bootstrap,0.1,0.4256400267283122,0.012651325602294773,0.1338908026615778,11000,3
10000,block_bootstrap,0.3,0.4207282265027364,0.014608339423670326,0.1350358128547668,13000,3
10000,block_bootstrap,0.7,0.4050855040550232,0.01880994650142414,0.13868233064810434,17000,3
10000,block_bootstrap,2.0,0.38607949018478394,0.009743187803118539,0.14311288297176358,30000,3
10000,gaussiana,0.05,0.41352830330530804,0.013109653154845125,0.13671421011288962,10500,3
10000,gaussiana,0.1,0.40440545479456586,0.015918653773442554,0.13884086410204563,11000,3
10000,gaussiana,0.3,0.3766929507255554,0.020586782254992796,0.14530100425084427,13000,3
10000,gaussiana,0.7,0.3481120467185974,0.009363888637379053,0.15196359157562253,17000,3
10000,gaussiana,2.0,0.29933716853459674,0.02546329764933931,0.16333365440368647,30000,3
10000,jitter,0.05,0.4238236943880717,0.009349742023612438,0.134314219156901,10500,3
10000,jitter,0.1,0.4268408219019572,0.012540004204698243,0.1336108843485514,11000,3
10000,jitter,0.3,0.41507917642593384,0.014399203858065857,0.13635267814000443,13000,3
10000,jitter,0.7,0.4277499516805013,0.017701805945689375,0.13339895009994504,17000,3
10000,jitter,2.0,0.4259446859359741,0.01739914844923893,0.13381978869438169,30000,3
10000,ninguno,0.0,0.42335734764734906,0.01868887108848989,0.13442292809486384,10000,3
10000,realnvp,0.05,0.4311828414599101,0.015209985953890982,0.13259870310624436,10500,3
10000,realnvp,0.1,0.42660317818323773,0.01991737402476747,0.13366627693176267,11000,3
10000,realnvp,0.3,0.4295674165089925,0.008898678594013115,0.1329752753178278,13000,3
10000,realnvp,0.7,0.4287191033363342,0.02119501667707603,0.13317303359508512,17000,3
10000,realnvp,2.0,0.4252270857493083,0.031568977238555715,0.13398706912994382,30000,3
10000,vae,0.05,0.4244244694709778,0.019563296184064292,0.13417416810989377,10500,3
10000,vae,0.1,0.424747367699941,0.014643538350169525,0.1340988924105962,11000,3
10000,vae,0.3,0.4126250942548116,0.005590520509517778,0.13692475855350492,13000,3
10000,vae,0.7,0.4081654151280721,0.016683359263052058,0.1379643678665161,17000,3
10000,vae,2.0,0.3840832511583964,0.010145239371533303,0.14357823133468625,30000,3
10000,wgan_gp,0.05,0.4174243211746216,0.023034567339394334,0.13580599427223203,10500,3
10000,wgan_gp,0.1,0.40671253204345703,0.027618991905760216,0.13830305139223734,11000,3
10000,wgan_gp,0.3,0.38057877620061237,0.029454453966440128,0.144395167628924,13000,3
10000,wgan_gp,0.7,0.3244525194168091,0.048816395995440486,0.15747893353303274,17000,3
10000,wgan_gp,2.0,0.23279754320780432,0.007555168675782328,0.17884490390618643,30000,3
20000,block_bootstrap,0.025,0.41474868853886915,0.02827299156729469,0.13642971714337662,20500,3
20000,block_bootstrap,0.05,0.4180723627408345,0.0258052987427208,0.1356549263000488,21000,3
20000,block_bootstrap,0.15,0.41744359334309894,0.030793916900539117,0.1358014990886052,23000,3
20000,block_bootstrap,0.35,0.4118349552154541,0.03456229227781934,0.13710894683996833,27000,3
20000,block_bootstrap,1.0,0.39860888322194415,0.023646145624684412,0.1401921212673187,40000,3
20000,gaussiana,0.025,0.4089431166648865,0.02344154730995174,0.137783075372378,20500,3
20000,gaussiana,0.05,0.41378045082092285,0.021026778889487518,0.1366554299990336,21000,3
20000,gaussiana,0.15,0.4010935028394063,0.015662294617530534,0.13961291809876755,23000,3
20000,gaussiana,0.35,0.3733532627423604,0.022267000095599912,0.14607953031857807,27000,3
20000,gaussiana,1.0,0.3382567564646403,0.021913082521856225,0.15426098803679142,40000,3
20000,jitter,0.025,0.4241093595822652,0.02859854933320213,0.13424762090047196,20500,3
20000,jitter,0.05,0.41517118612925213,0.021575724663713304,0.13633122543493903,21000,3
20000,jitter,0.15,0.4031159083048503,0.04471531765322285,0.1391414701938629,23000,3
20000,jitter,0.35,0.41071893771489454,0.03368842061622015,0.1373691062132517,27000,3
20000,jitter,1.0,0.4119457006454467,0.027179743964081956,0.13708313802878055,40000,3
20000,ninguno,0.0,0.42257670561472577,0.02118366211544314,0.13460490604241684,20000,3
20000,realnvp,0.025,0.4232133825620015,0.012627512964962955,0.13445649047692612,20500,3
20000,realnvp,0.05,0.4215005040168762,0.025756921172133414,0.13485578199227646,21000,3
20000,realnvp,0.15,0.4270794788996379,0.017108441254134694,0.13355524837970725,23000,3
20000,realnvp,0.35,0.42355912923812866,0.01975817994020503,0.1343758900960286,27000,3
20000,realnvp,1.0,0.41851701339085895,0.029998767099278543,0.1355512738227844,40000,3
20000,vae,0.025,0.43332435687383014,0.012730083315598993,0.1320994893709818,20500,3
20000,vae,0.05,0.42487406730651855,0.02033987701985614,0.1340693632761637,21000,3
20000,vae,0.15,0.42431966463724774,0.01987828308712733,0.13419860104719797,23000,3
20000,vae,0.35,0.41844475269317627,0.03064961777535319,0.13556811710198716,27000,3
20000,vae,1.0,0.40503321091334027,0.02125519165529415,0.13869452476501462,40000,3
20000,wgan_gp,0.025,0.41628923018773395,0.01846861678095858,0.1360705991586049,20500,3
20000,wgan_gp,0.05,0.4205281337102254,0.017859843477825245,0.13508244852224982,21000,3
20000,wgan_gp,0.15,0.40597877899805696,0.016867857098546577,0.13847409685452775,23000,3
20000,wgan_gp,0.35,0.3799421985944112,0.03738163438200978,0.1445435633261998,27000,3
20000,wgan_gp,1.0,0.29294711351394653,0.061324436431747606,0.16482325394948316,40000,3
