generador,ratio,n_seeds,delta,sd,t,significativo
jitter,1,3,0.03572775920232137,0.01589369238850016,3.893512763829624,True
jitter,3,3,0.08920427163441975,0.05851683988169915,2.6403737972752577,True
jitter,10,3,0.10024092594782512,0.054186895626484655,3.2041395752983863,True
jitter,30,3,0.09345640738805133,0.054218704751434706,2.9855240295956524,True
realnvp,1,3,0.02080829938252765,0.023372110880501465,1.5420529165685997,False
realnvp,3,3,0.06603602568308513,0.04604084265323603,2.4842671207058706,False
realnvp,10,3,0.05163041750590006,0.04483043056333708,1.9947724171390555,False
realnvp,30,3,0.02493061621983846,0.027765892240081993,1.5551848139216662,False
block_bootstrap,1,3,-0.006929079691569047,0.041768736654049246,-0.2873325610705967,False
block_bootstrap,3,3,-0.002570390701293936,0.019652002181756046,-0.22654420902093922,False
block_bootstrap,10,3,0.02855767806371053,0.03631366235596571,1.362114040376207,False
block_bootstrap,30,3,0.027512848377227766,0.05163496620433311,0.9228949828633454,False
gaussiana,1,3,-0.023839831352233914,0.02089529519197423,-1.976129016918725,False
gaussiana,3,3,-0.050614237785339376,0.026368936777018327,-3.3246100201880475,True
gaussiana,10,3,-0.061305840810139976,0.0509119618865266,-2.085655848827009,False
gaussiana,30,3,-0.1575849850972494,0.11703901600946462,-2.332087281700557,False
