n_real,generador,ratio,seed,n_synth,n_train,val_mse,test_mse,test_mae,test_r2,epoca_mejor,segundos
1000,ninguno,0.0,0,0,1000,0.4708574116230011,0.14655905961990356,0.3045002520084381,0.3207150101661682,105,22.4
1000,ninguno,0.0,1,0,1000,0.403371125459671,0.13960234820842743,0.28626298904418945,0.352958619594574,120,18.6
1000,ninguno,0.0,2,0,1000,0.41406863927841187,0.14121098816394806,0.2844005823135376,0.34550273418426514,233,18.6
1000,jitter,1,0,1000,2000,0.4501108229160309,0.14477956295013428,0.30047664046287537,0.3289628028869629,62,25.8
1000,jitter,1,1,1000,2000,0.4109594523906708,0.1362757533788681,0.28127723932266235,0.36837702989578247,108,26.0
1000,jitter,1,2,1000,2000,0.42429760098457336,0.1471540480852127,0.2910177707672119,0.31795734167099,75,25.9
1000,gaussiana,1,0,1000,2000,0.42885085940361023,0.14294865727424622,0.29468244314193726,0.3374488353729248,87,25.9
1000,gaussiana,1,1,1000,2000,0.616001546382904,0.20269662141799927,0.34304454922676086,0.0605236291885376,38,25.9
1000,gaussiana,1,2,1000,2000,0.5177196860313416,0.16395750641822815,0.30758893489837646,0.24007517099380493,206,25.9
1000,block_bootstrap,1,0,1000,2000,0.49940305948257446,0.15699365735054016,0.31202706694602966,0.27235180139541626,53,25.9
1000,block_bootstrap,1,1,1000,2000,0.40912583470344543,0.14004383981227875,0.2857363522052765,0.35091233253479004,122,25.9
1000,block_bootstrap,1,2,1000,2000,0.44470077753067017,0.14268431067466736,0.2859628200531006,0.33867406845092773,138,26.0
1000,vae,1,0,1000,2000,0.4237726926803589,0.1355469673871994,0.2870692014694214,0.37175482511520386,80,29.0
1000,vae,1,1,1000,2000,0.3871985375881195,0.13853861391544342,0.28325074911117554,0.3578888773918152,146,28.9
1000,vae,1,2,1000,2000,0.43897879123687744,0.1465451866388321,0.2894742488861084,0.32077932357788086,72,29.2
1000,wgan_gp,1,0,1000,2000,0.6009200811386108,0.15813614428043365,0.31177666783332825,0.26705652475357056,132,38.9
1000,wgan_gp,1,1,1000,2000,0.42162129282951355,0.14747893810272217,0.2922022044658661,0.3164514899253845,107,38.9
1000,wgan_gp,1,2,1000,2000,0.5386120676994324,0.16815514862537384,0.317947655916214,0.2206195592880249,52,38.7
1000,realnvp,1,0,1000,2000,0.5296177268028259,0.15953855216503143,0.3205551505088806,0.26055651903152466,57,39.1
1000,realnvp,1,1,1000,2000,0.40198656916618347,0.13909895718097687,0.2862720787525177,0.35529178380966187,109,38.9
1000,realnvp,1,2,1000,2000,0.41129109263420105,0.13412395119667053,0.2792530953884125,0.3783503770828247,271,38.7
1000,jitter,3,0,3000,4000,0.4403342604637146,0.13416048884391785,0.28555426001548767,0.3781810402870178,82,40.9
1000,jitter,3,1,3000,4000,0.39198416471481323,0.13513095676898956,0.2818208336830139,0.37368303537368774,35,40.7
1000,jitter,3,2,3000,4000,0.41936570405960083,0.1420767605304718,0.28630390763282776,0.3414899706840515,49,40.8
1000,gaussiana,3,0,3000,4000,0.4230600595474243,0.14090244472026825,0.28904229402542114,0.3469328284263611,65,40.7
1000,gaussiana,3,1,3000,4000,0.6920357942581177,0.22341354191303253,0.35978084802627563,-0.03549695014953613,150,40.6
1000,gaussiana,3,2,3000,4000,0.5622982978820801,0.17335492372512817,0.314974844455719,0.19651919603347778,30,40.7
1000,block_bootstrap,3,0,3000,4000,0.4754787087440491,0.14694420993328094,0.3029642105102539,0.31892991065979004,63,40.6
1000,block_bootstrap,3,1,3000,4000,0.45151469111442566,0.14791248738765717,0.2938118278980255,0.3144420385360718,72,40.6
1000,block_bootstrap,3,2,3000,4000,0.4710599482059479,0.1495094895362854,0.29421526193618774,0.30704009532928467,129,40.6
1000,vae,3,0,3000,4000,0.42897897958755493,0.14526939392089844,0.2938186526298523,0.32669246196746826,32,43.8
1000,vae,3,1,3000,4000,0.4537903666496277,0.154168039560318,0.2982335090637207,0.28544825315475464,160,44.0
1000,vae,3,2,3000,4000,0.47138142585754395,0.15287673473358154,0.29428017139434814,0.29143327474594116,116,44.0
1000,wgan_gp,3,0,3000,4000,0.6563228368759155,0.17487424612045288,0.326659232378006,0.18947726488113403,155,53.1
1000,wgan_gp,3,1,3000,4000,0.4532981216907501,0.15842704474925995,0.30498409271240234,0.26570820808410645,78,53.3
1000,wgan_gp,3,2,3000,4000,0.6710246205329895,0.2084490954875946,0.35182586312294006,0.03386157751083374,219,53.7
1000,realnvp,3,0,3000,4000,0.5691585540771484,0.174956813454628,0.3346763849258423,0.18909460306167603,26,53.3
1000,realnvp,3,1,3000,4000,0.4323207437992096,0.14355537295341492,0.29716405272483826,0.3346368074417114,45,53.7
1000,realnvp,3,2,3000,4000,0.42067113518714905,0.13223719596862793,0.28085577487945557,0.38709527254104614,134,53.1
1000,jitter,5,0,5000,6000,0.436325341463089,0.14413192868232727,0.29804879426956177,0.33196449279785156,21,55.5
1000,jitter,5,1,5000,6000,0.40028616786003113,0.14217858016490936,0.28907808661460876,0.34101808071136475,18,55.4
1000,jitter,5,2,5000,6000,0.4129076898097992,0.13741396367549896,0.28410348296165466,0.3631015419960022,33,55.3
1000,gaussiana,5,0,5000,6000,0.4203064441680908,0.13857027888298035,0.2875567674636841,0.3577421307563782,43,55.3
1000,gaussiana,5,1,5000,6000,0.6884914040565491,0.22018548846244812,0.3580706715583801,-0.02053534984588623,141,55.4
1000,gaussiana,5,2,5000,6000,0.6090096235275269,0.1947656124830246,0.33656787872314453,0.0972830057144165,138,55.6
1000,block_bootstrap,5,0,5000,6000,0.47652390599250793,0.15498068928718567,0.30848386883735657,0.28168171644210815,19,55.5
1000,block_bootstrap,5,1,5000,6000,0.44691067934036255,0.14827395975589752,0.2960708439350128,0.3127666711807251,59,55.3
1000,block_bootstrap,5,2,5000,6000,0.4790462255477905,0.15692469477653503,0.30091601610183716,0.2726714611053467,98,55.4
1000,vae,5,0,5000,6000,0.405950129032135,0.1323070079088211,0.2792684733867645,0.38677167892456055,49,58.5
1000,vae,5,1,5000,6000,0.44937795400619507,0.15488691627979279,0.3016851544380188,0.2821163535118103,126,58.7
1000,vae,5,2,5000,6000,0.4721488058567047,0.15413744747638702,0.29753902554512024,0.2855900526046753,149,58.4
1000,wgan_gp,5,0,5000,6000,0.6685431599617004,0.17581728100776672,0.32995471358299255,0.18510639667510986,200,68.5
1000,wgan_gp,5,1,5000,6000,0.4615568220615387,0.1567494124174118,0.3030450940132141,0.27348387241363525,67,68.3
1000,wgan_gp,5,2,5000,6000,0.6730197072029114,0.21623824536800385,0.36461934447288513,-0.002240300178527832,1,68.5
1000,realnvp,5,0,5000,6000,0.6765149235725403,0.21568435430526733,0.3649824261665344,0.0003269314765930176,1,68.4
1000,realnvp,5,1,5000,6000,0.4357147216796875,0.1495063453912735,0.29956215620040894,0.30705469846725464,25,67.7
1000,realnvp,5,2,5000,6000,0.44279882311820984,0.1348116099834442,0.2863105833530426,0.37516313791275024,52,68.7
1000,jitter,10,0,10000,11000,0.44427332282066345,0.14419038593769073,0.2987058460712433,0.3316935896873474,10,92.1
1000,jitter,10,1,10000,11000,0.38970664143562317,0.13813012838363647,0.28342291712760925,0.3597821593284607,14,92.2
1000,jitter,10,2,10000,11000,0.41624554991722107,0.14376623928546906,0.28730085492134094,0.33365941047668457,15,91.9
1000,gaussiana,10,0,10000,11000,0.4408801794052124,0.1474461704492569,0.29823049902915955,0.3166033625602722,41,91.9
