n_real,generador,ratio,test_r2_media,test_r2_sd,test_mse_media,n_train,n_seeds
250,block_bootstrap,1.0,0.1639580726623535,0.14249560435702896,0.1803801357746124,500,3
250,block_bootstrap,3.0,0.10168494780858355,0.1633128767827608,0.1938158720731735,1000,3
250,block_bootstrap,5.0,0.1398952802022298,0.11916396923218782,0.18557180464267728,1500,3
250,block_bootstrap,10.0,0.13430096705754593,0.10752485536186863,0.18677880366643265,2750,3
250,block_bootstrap,20.0,0.16534628470738724,0.1229509687801272,0.18008062243461606,5250,3
250,block_bootstrap,30.0,0.18038610617319742,0.10020898579530978,0.17683571080366767,7750,3
250,gaussiana,1.0,0.17536576588948563,0.11552423823979246,0.17791887621084848,500,3
250,gaussiana,3.0,0.13162577152252194,0.1538489380727605,0.1873559902111689,1000,3
250,gaussiana,5.0,0.14430042107899985,0.1415040558877444,0.1846213688453038,1500,3
250,gaussiana,10.0,0.13185060024261472,0.15645194084275071,0.18730748693148289,2750,3
250,gaussiana,20.0,0.1187328497568766,0.16825859350900166,0.19013770421346024,5250,3
250,gaussiana,30.0,0.1219417651494344,0.1654003895564825,0.18944536149501798,7750,3
250,jitter,1.0,0.27200559775034583,0.04426444035626816,0.1570683568716049,500,3
250,jitter,3.0,0.28267858425776154,0.06081742055487669,0.15476560592651367,1000,3
250,jitter,5.0,0.2701961596806844,0.053826800554109586,0.1574587523937225,1500,3
250,jitter,10.0,0.2903800408045451,0.06210287769586756,0.15310398240884143,2750,3
250,jitter,20.0,0.304366926352183,0.009305748144873565,0.15008623898029325,5250,3
250,jitter,30.0,0.27496254444122314,0.06533359416047886,0.1564303785562515,7750,3
250,ninguno,0.0,0.2716818650563558,0.04372691303026995,0.15713820358117417,250,3
250,realnvp,1.0,0.19002976020177206,0.10423766082834787,0.17475504676500953,500,3
250,realnvp,3.0,0.1919860045115153,0.12283735946395496,0.17433297634124753,1000,3
250,realnvp,5.0,0.1852414608001709,0.16543978919466376,0.17578813930352524,1500,3
250,realnvp,10.0,0.19209676980972287,0.1211041874302771,0.17430907984574628,2750,3
250,realnvp,20.0,0.14841071764628092,0.13856768728265453,0.18373455107212064,5250,3
250,realnvp,30.0,0.1677510937054952,0.1529115621762406,0.17956177393595374,7750,3
250,vae,1.0,0.2119244535764058,0.038741293707186604,0.1700311551491419,500,3
250,vae,3.0,0.16927963495254517,0.05106440223863966,0.17923198640346527,1000,3
250,vae,5.0,0.14988573392232254,0.07531700855023346,0.18341631690661112,1500,3
250,vae,10.0,0.18561446666717527,0.07892289384375903,0.17570766806602475,2750,3
250,vae,20.0,0.19835394620895377,0.06656624637696969,0.1729590594768524,5250,3
250,vae,30.0,0.18276985486348463,0.08147031883409626,0.17632140219211578,7750,3
250,wgan_gp,1.0,0.12349673112233477,0.09929760791484064,0.18910987178484595,500,3
250,wgan_gp,3.0,0.1083275278409322,0.11761214239898804,0.19238270322481787,1000,3
250,wgan_gp,5.0,0.19016408920288078,0.12738140128707476,0.17472606400648746,1500,3
250,wgan_gp,10.0,0.20249883333841953,0.009757288355089534,0.17206478118896482,2750,3
250,wgan_gp,20.0,0.16810594002405796,0.062484303257444765,0.17948521176973975,5250,3
250,wgan_gp,30.0,0.1438635190327962,0.09675968017708435,0.18471563855806983,7750,3
500,block_bootstrap,1.0,0.15510741869608555,0.08923650824071305,0.1822897096474965,1000,3
500,block_bootstrap,3.0,0.1679048339525858,0.07390890189369122,0.17952860395113623,2000,3
500,block_bootstrap,5.0,0.15484031041463212,0.1100307087353373,0.18234733740488684,3000,3
500,block_bootstrap,10.0,0.18242915471394852,0.09102475191575378,0.17639491458733872,5500,3
500,block_bootstrap,20.0,0.16597054402033487,0.11465927084077375,0.17994594077269233,10500,3
500,block_bootstrap,30.0,0.1886874636014302,0.0733155320505065,0.17504465083281198,15500,3
500,gaussiana,1.0,0.18231211105982456,0.12535677917883595,0.1764201670885086,1000,3
500,gaussiana,3.0,0.17563714583714798,0.11724733960040779,0.17786031961441037,2000,3
500,gaussiana,5.0,0.16003670295079547,0.12266603191455018,0.18122619390487668,3000,3
500,gaussiana,10.0,0.10771548748016353,0.1237136869562458,0.19251475234826398,5500,3
500,gaussiana,20.0,0.013758381207783998,0.05811370928092968,0.2127864559491475,10500,3
500,gaussiana,30.0,-0.07491113742192586,0.1535053148942711,0.23191733658313743,15500,3
500,jitter,1.0,0.29054236412048334,0.026377629124065466,0.15306895971298215,1000,3
500,jitter,3.0,0.3193999926249186,0.0069590640240340266,0.14684278269608814,2000,3
500,jitter,5.0,0.3214256564776103,0.01894020569516864,0.14640573660532627,3000,3
500,jitter,10.0,0.31468486785888666,0.02538843304526155,0.14786009490489957,5500,3
500,jitter,20.0,0.33121126890182495,0.051676915781849075,0.14429444571336106,10500,3
500,jitter,30.0,0.33958061536153156,0.03184900632528932,0.14248871803283686,15500,3
500,ninguno,0.0,0.28534662723541254,0.04862062672168201,0.15418996413548783,500,3
500,realnvp,1.0,0.22945229212443027,0.02187041740966322,0.16624944408734635,1000,3
500,realnvp,3.0,0.2635868986447652,0.08237751058754814,0.15888473391532895,2000,3
500,realnvp,5.0,0.2504597504933675,0.13737512053975826,0.16171697775522864,3000,3
500,realnvp,10.0,0.2164919773737589,0.12952070578668695,0.16904569168885544,5500,3
500,realnvp,20.0,0.2127347191174825,0.14962213680815678,0.16985633969306937,10500,3
500,realnvp,30.0,0.20786462227503458,0.14535066133124627,0.17090709010759983,15500,3
500,vae,1.0,0.2511975169181823,0.07538943657021026,0.16155780355135596,1000,3
500,vae,3.0,0.23888427019119263,0.07539078769772851,0.16421444714069358,2000,3
500,vae,5.0,0.23239459594090775,0.09666888460263803,0.16561462481816602,3000,3
500,vae,10.0,0.23459893465042114,0.07511057264991576,0.16513902445634202,5500,3
500,vae,20.0,0.21930150190989173,0.08368815056442631,0.16843952735265091,10500,3
500,vae,30.0,0.1880925099054972,0.10807140456219204,0.17517301936944327,15500,3
500,wgan_gp,1.0,0.227998157342275,0.0035439909524206644,0.16656317810217536,1000,3
500,wgan_gp,3.0,0.2258657614390055,0.0332875308265635,0.16702325145403543,2000,3
