n_real,generador,ratio,seed,n_synth,n_train,val_mse,test_mse,test_mae,test_r2,epoca_mejor,segundos,receta
250,ninguno,0.0,0,0,250,0.4696522951126098,0.1768205761909485,0.3177157938480377,0.2414814233779907,52,5.0,f16761a9
250,ninguno,0.0,1,0,250,0.6680181622505188,0.2279849648475647,0.3629945516586303,0.0219982862472534,99,2.9,f16761a9
250,ninguno,0.0,2,0,250,0.5470349192619324,0.188638225197792,0.3334825038909912,0.1907864809036255,99,2.9,f16761a9
250,jitter,0.248,0,62,312,0.4577568173408508,0.1715423315763473,0.309933602809906,0.2641238570213318,57,3.0,f16761a9
250,jitter,0.248,1,62,312,0.6633684635162354,0.2268623113632202,0.3630357980728149,0.0268142223358154,99,3.0,f16761a9
250,jitter,0.248,2,62,312,0.5880986452102661,0.1993691623210907,0.3439122438430786,0.1447533369064331,99,3.0,f16761a9
250,gaussiana,0.248,0,62,312,0.4536625444889068,0.1682833731174469,0.3080869317054748,0.2781040072441101,51,3.0,f16761a9
250,gaussiana,0.248,1,62,312,0.667176365852356,0.2291498631238937,0.365881860256195,0.0170011520385742,99,3.0,f16761a9
250,gaussiana,0.248,2,62,312,0.621131420135498,0.2051474452018737,0.3469211161136627,0.1199658513069152,99,3.0,f16761a9
250,block_bootstrap,0.248,0,62,312,0.5062568783760071,0.1824605017900467,0.3175847232341766,0.2172874808311462,60,3.0,f16761a9
250,block_bootstrap,0.248,1,62,312,0.6568877100944519,0.2252595424652099,0.3635051846504211,0.0336896777153015,99,3.0,f16761a9
250,block_bootstrap,0.248,2,62,312,0.6209285259246826,0.2051526308059692,0.3471191823482513,0.119943618774414,99,3.0,f16761a9
250,vae,0.248,0,62,312,0.4785797297954559,0.1749598979949951,0.3127025961875915,0.2494633197784423,57,3.2,f16761a9
250,vae,0.248,1,62,312,0.6726888418197632,0.2299496233463287,0.3666043579578399,0.0135703682899475,99,3.1,f16761a9
250,vae,0.248,2,62,312,0.5547226667404175,0.1944996565580368,0.3370963633060455,0.1656423807144165,99,3.2,f16761a9
250,realnvp,0.248,0,62,312,0.4552237093448639,0.169000819325447,0.308954656124115,0.2750263214111328,57,3.3,f16761a9
250,realnvp,0.248,1,62,312,0.6846430897712708,0.2334787100553512,0.3690097332000732,-0.0015685558319091,99,3.3,f16761a9
250,realnvp,0.248,2,62,312,0.6266118288040161,0.2096065431833267,0.3535912632942199,0.1008373498916626,85,3.3,f16761a9
250,jitter,0.5,0,125,375,0.4533731937408447,0.1692696362733841,0.3087117075920105,0.2738732099533081,55,3.1,f16761a9
250,jitter,0.5,1,125,375,0.6654905676841736,0.2276106774806976,0.3632515072822571,0.0236038565635681,99,3.1,f16761a9
250,jitter,0.5,2,125,375,0.5460711121559143,0.1898433417081833,0.3359838426113128,0.1856168508529663,99,3.1,f16761a9
250,gaussiana,0.5,0,125,375,0.4680906236171722,0.1731611639261245,0.3118639886379242,0.2571794390678406,53,3.1,f16761a9
250,gaussiana,0.5,1,125,375,0.6848556399345398,0.2337858080863952,0.3723471462726593,-0.0028859376907348,5,3.1,f16761a9
250,gaussiana,0.5,2,125,375,0.5885169506072998,0.1995897740125656,0.3403838276863098,0.1438069343566894,99,3.1,f16761a9
250,block_bootstrap,0.5,0,125,375,0.5315054655075073,0.188054010272026,0.3248002529144287,0.1932926774024963,55,3.2,f16761a9
250,block_bootstrap,0.5,1,125,375,0.6762744784355164,0.2298072278499603,0.3696190416812897,0.0141811966896057,99,3.2,f16761a9
250,block_bootstrap,0.5,2,125,375,0.6103885173797607,0.2012587338685989,0.34335458278656,0.1366475224494934,99,3.2,f16761a9
250,vae,0.5,0,125,375,0.4680286645889282,0.1712835431098938,0.3100497126579284,0.2652339935302734,54,3.3,f16761a9
250,vae,0.5,1,125,375,0.6757709383964539,0.2303642481565475,0.366758793592453,0.011791706085205,99,3.3,f16761a9
250,vae,0.5,2,125,375,0.5245309472084045,0.1880549639463424,0.3310131132602691,0.1932885646820068,99,3.3,f16761a9
250,realnvp,0.5,0,125,375,0.4544510245323181,0.1695197522640228,0.3089085519313812,0.2728002667427063,55,3.4,f16761a9
