n_real,generador,ratio,seed,n_synth,n_train,val_mse,test_mse,test_mae,test_r2,epoca_mejor,segundos
250,ninguno,0.0,0,0,250,0.43885481357574463,0.16734957695007324,0.29936644434928894,0.282109797000885,26,2.3
250,ninguno,0.0,1,0,250,0.522497296333313,0.1871516853570938,0.3296767473220825,0.1971634030342102,39,0.7
250,ninguno,0.0,2,0,250,0.4932269752025604,0.1807456612586975,0.32226383686065674,0.2246437668800354,27,0.7
250,jitter,1.0,0,250,500,0.457923024892807,0.17164935171604156,0.3050519824028015,0.26366478204727173,25,0.7
250,jitter,1.0,1,250,500,0.5134512782096863,0.18525101244449615,0.32700595259666443,0.20531684160232544,36,0.7
250,jitter,1.0,2,250,500,0.4952563941478729,0.1812937706708908,0.3229600489139557,0.2222924828529358,26,0.7
250,gaussiana,1.0,0,250,500,0.49640896916389465,0.18122150003910065,0.3117368221282959,0.2226024866104126,15,0.7
250,gaussiana,1.0,1,250,500,0.5329411029815674,0.1898951232433319,0.332463800907135,0.18539470434188843,36,0.7
250,gaussiana,1.0,2,250,500,0.4988722503185272,0.18373213708400726,0.32442599534988403,0.2118324637413025,33,0.7
250,block_bootstrap,1.0,0,250,500,0.47044599056243896,0.17312830686569214,0.3052578866481781,0.2573204040527344,37,0.7
250,block_bootstrap,1.0,1,250,500,0.5584544539451599,0.1959979087114334,0.33991342782974243,0.15921521186828613,28,0.7
250,block_bootstrap,1.0,2,250,500,0.5025621056556702,0.18282045423984528,0.3234991431236267,0.21574336290359497,34,0.7
250,vae,1.0,0,250,500,0.44987568259239197,0.17088860273361206,0.3051329553127289,0.26692819595336914,12,0.9
250,vae,1.0,1,250,500,0.5541648268699646,0.19501329958438873,0.33736652135849,0.16343891620635986,24,0.8
250,vae,1.0,2,250,500,0.4744548797607422,0.17517176270484924,0.3144291341304779,0.24855446815490723,39,0.9
250,wgan_gp,1.0,0,250,500,0.8769444823265076,0.28829318284988403,0.40954405069351196,-0.23670971393585205,0,1.8
250,wgan_gp,1.0,1,250,500,0.5435003042221069,0.1927352398633957,0.3358151316642761,0.17321127653121948,39,1.7
250,wgan_gp,1.0,2,250,500,0.5666062235832214,0.19775936007499695,0.34032121300697327,0.1516590118408203,39,1.7
250,realnvp,1.0,0,250,500,0.42902371287345886,0.16218717396259308,0.29668280482292175,0.30425530672073364,14,1.1
250,realnvp,1.0,1,250,500,0.5834459066390991,0.20266978442668915,0.34771135449409485,0.1305944323539734,26,1.2
250,realnvp,1.0,2,250,500,0.5005978345870972,0.1794722080230713,0.3232388198375702,0.23010653257369995,35,1.2
250,jitter,3.0,0,750,1000,0.46387937664985657,0.1727752387523651,0.30633988976478577,0.25883495807647705,23,0.8
250,jitter,3.0,1,750,1000,0.5141867399215698,0.18534722924232483,0.3269633948802948,0.20490407943725586,34,0.8
250,jitter,3.0,2,750,1000,0.49844324588775635,0.18183358013629913,0.3239764869213104,0.21997684240341187,26,0.8
250,gaussiana,3.0,0,750,1000,0.5363434553146362,0.18785840272903442,0.31959769129753113,0.1941317915916443,13,0.8
250,gaussiana,3.0,1,750,1000,0.5398406386375427,0.19106759130954742,0.3332847058773041,0.18036508560180664,35,0.8
250,gaussiana,3.0,2,750,1000,0.5393335819244385,0.1931256353855133,0.33404919505119324,0.17153656482696533,37,0.8
250,block_bootstrap,3.0,0,750,1000,0.5462376475334167,0.19376403093338013,0.3263801634311676,0.16879802942276,33,0.8
250,block_bootstrap,3.0,1,750,1000,0.5658150315284729,0.19810369610786438,0.34112030267715454,0.15018188953399658,6,0.8
250,block_bootstrap,3.0,2,750,1000,0.5432345271110535,0.19308237731456757,0.3333081901073456,0.1717221736907959,39,0.8
250,vae,3.0,0,750,1000,0.49811452627182007,0.18080206215381622,0.316057413816452,0.22440177202224731,11,0.9
250,vae,3.0,1,750,1000,0.5646033883094788,0.19822284579277039,0.33933010697364807,0.14967072010040283,34,0.9
250,vae,3.0,2,750,1000,0.5117828845977783,0.1843259185552597,0.3245733082294464,0.20928525924682617,39,0.9
250,wgan_gp,3.0,0,750,1000,0.8777478337287903,0.28853780031204224,0.4097290635108948,-0.23775911331176758,0,1.9
250,wgan_gp,3.0,1,750,1000,0.5565105676651001,0.19595980644226074,0.3397848606109619,0.15937864780426025,39,1.8
250,wgan_gp,3.0,2,750,1000,0.7988680601119995,0.2669509947299957,0.39278802275657654,-0.14515674114227295,39,1.9
250,realnvp,3.0,0,750,1000,0.42571738362312317,0.15973977744579315,0.2936069369316101,0.31475400924682617,35,1.2
250,realnvp,3.0,1,750,1000,0.5919474959373474,0.204870343208313,0.3495713174343109,0.1211545467376709,2,1.2
250,realnvp,3.0,2,750,1000,0.5317795276641846,0.18843834102153778,0.33335763216018677,0.19164395332336426,22,1.2
1000,ninguno,0.0,0,0,1000,0.4531918466091156,0.16480305790901184,0.2968718111515045,0.29303377866744995,39,1.0
1000,ninguno,0.0,1,0,1000,0.49254462122917175,0.18076317012310028,0.31937769055366516,0.2245686650276184,35,0.8
