n_real,generador,ratio,test_r2_media,test_r2_sd,test_mse_media,n_train,n_seeds
250,block_bootstrap,1.0,0.2107596596082051,0.049242107563438456,0.18398222327232358,500,3
250,block_bootstrap,3.0,0.1635673642158508,0.011683999925924069,0.19498336811860395,1000,3
250,gaussiana,1.0,0.20660988489786783,0.01914578968513429,0.18494958678881324,500,3
250,gaussiana,3.0,0.18201114734013876,0.011387194894776204,0.1906838764746984,1000,3
250,jitter,1.0,0.23042470216751096,0.030012002295365273,0.17939804494380948,500,3
250,jitter,3.0,0.22790529330571485,0.02782589024599705,0.17998534937699637,1000,3
250,ninguno,0.0,0.2346389889717102,0.04334628946613319,0.17841564118862152,250,3
250,realnvp,1.0,0.22165209054946897,0.08713858510391782,0.18144305547078446,500,3
250,realnvp,3.0,0.20918416976928708,0.09798434755452431,0.1843494872252146,1000,3
250,vae,1.0,0.22630719343821204,0.05521515806260781,0.18035788834094998,500,3
250,vae,3.0,0.1944525837898254,0.03951188082394822,0.18778360883394873,1000,3
250,wgan_gp,1.0,0.029386858145395905,0.23069821040347133,0.22626259426275885,500,3
250,wgan_gp,3.0,-0.0745124022165934,0.20778009359115102,0.25048286716143287,1000,3
1000,block_bootstrap,1.0,0.2698548634847005,0.05846106427647358,0.17020635803540543,2000,3
1000,block_bootstrap,3.0,0.27574074268341064,0.0696753768205391,0.1688342839479446,4000,3
1000,gaussiana,1.0,0.22641338904698685,0.030851180052036114,0.18033313254515326,2000,3
1000,gaussiana,3.0,0.21970130999883017,0.03665910315560355,0.18189780414104462,4000,3
1000,jitter,1.0,0.3123832941055298,0.030217548881486554,0.1602924267450968,2000,3
1000,jitter,3.0,0.3427997827529907,0.01363505399683163,0.1532019476095835,4000,3
1000,ninguno,0.0,0.2557342449824015,0.03464227168796148,0.17349806427955625,1000,3
1000,realnvp,1.0,0.33347654342651367,0.03438738816241567,0.15537531673908225,2000,3
1000,realnvp,3.0,0.3338608145713806,0.004772477441977945,0.1552857359250386,4000,3
1000,vae,1.0,0.2548739314079284,0.03801870744894179,0.17369861404101053,2000,3
1000,vae,3.0,0.2670741279919942,0.037629328999789165,0.17085458338260648,4000,3
1000,wgan_gp,1.0,0.27144267161687213,0.04909189383578132,0.16983622312545768,2000,3
1000,wgan_gp,3.0,0.31868541240692133,0.02766791579338093,0.15882332126299537,4000,3
3000,block_bootstrap,1.0,0.3568959633509318,0.02328677415157548,0.1499159435431162,6000,3
3000,block_bootstrap,3.0,0.3446856339772542,0.021167312418190944,0.15276233355204258,12000,3
3000,gaussiana,1.0,0.2784378925959269,0.027373154261508447,0.16820553938547766,6000,3
3000,gaussiana,3.0,0.24839496612548825,0.03562227164989096,0.17520894606908163,12000,3
3000,jitter,1.0,0.3700774908065796,0.024814199537528638,0.14684315522511796,6000,3
3000,jitter,3.0,0.37649285793304443,0.036222298082234934,0.14534765481948847,12000,3
3000,ninguno,0.0,0.349059263865153,0.026292565647032615,0.15174278120199833,3000,3
3000,realnvp,1.0,0.3897904356320699,0.02863755398288945,0.14224781095981595,6000,3
3000,realnvp,3.0,0.38916446765263873,0.02402314865556595,0.14239373306433356,12000,3
3000,vae,1.0,0.32179164886474604,0.007915063659780792,0.15809921920299527,6000,3
3000,vae,3.0,0.3097047607103983,0.016509682391878517,0.16091682513554886,12000,3
3000,wgan_gp,1.0,0.30881404876708984,0.0487802573116277,0.1611244628826777,6000,3
3000,wgan_gp,3.0,0.2670043706893921,0.08371587340319675,0.17087084551652268,12000,3
