brazo,seed,n_train,val_mse,val_mae,val_r2,epoca_mejor,segundos
real,42,9000,0.091807521879673,0.2336249053478241,0.45329493284225464,140,26.87579321861267
real,43,9000,0.09410305321216583,0.23839136958122253,0.43962526321411133,146,26.89626383781433
real,44,9000,0.09294257313013077,0.23447644710540771,0.44653576612472534,159,25.805123805999756
jitter,42,9000,0.09423448145389557,0.236180379986763,0.4388425946235657,231,27.13031506538391
jitter,43,9000,0.0967978686094284,0.23958390951156616,0.42357784509658813,248,26.620230436325073
jitter,44,9000,0.0910721868276596,0.23225334286689758,0.4576737880706787,117,26.848705053329468
gaussiana,42,9000,0.18892595171928406,0.3399121165275574,-0.1250361204147339,85,26.48505997657776
gaussiana,43,9000,0.2087177336215973,0.3562684655189514,-0.24289429187774658,134,27.154258012771606
gaussiana,44,9000,0.19794633984565735,0.34846946597099304,-0.17875170707702637,64,26.956981658935547
block_bootstrap,42,9000,0.12545551359653473,0.273959755897522,0.2529243230819702,40,27.160290241241455
block_bootstrap,43,9000,0.12788079679012299,0.27697330713272095,0.23848199844360352,50,26.84850001335144
block_bootstrap,44,9000,0.12896691262722015,0.27783700823783875,0.2320142388343811,40,27.509886264801025
vae,42,9000,0.11240849643945694,0.25980129837989807,0.33061808347702026,160,27.19270896911621
vae,43,9000,0.10922849923372269,0.2560902237892151,0.3495546579360962,110,26.695228099822998
vae,44,9000,0.10724645107984543,0.2525942623615265,0.36135756969451904,29,26.130589723587036
wgan_gp,42,9000,0.10521936416625977,0.2553505301475525,0.3734286427497864,144,26.645687341690063
wgan_gp,43,9000,0.10494327545166016,0.2556021809577942,0.375072717666626,131,26.711241483688354
wgan_gp,44,9000,0.11187184602022171,0.2633014917373657,0.33381378650665283,144,26.209470748901367
realnvp,42,9000,0.0893091931939125,0.23061417043209076,0.46817219257354736,131,26.239717960357666
realnvp,43,9000,0.08901037275791168,0.2316536009311676,0.46995168924331665,108,26.632790088653564
realnvp,44,9000,0.08945800364017487,0.23010295629501343,0.46728605031967163,50,25.859819173812866
