step,loss,temporal,spectral,lr
0,0.9096114039421082,0.8541019558906555,0.5550945401191711,2e-05
1,0.920080304145813,0.8613607287406921,0.587195873260498,3e-05
2,0.8989711999893188,0.844109058380127,0.5486217141151428,4e-05
3,0.9038923382759094,0.8457615971565247,0.5813076496124268,5e-05
4,0.896076500415802,0.8386306166648865,0.5744590759277344,6e-05
5,0.8958727121353149,0.8388509750366211,0.5702176690101624,7e-05
6,0.9052669405937195,0.8465678095817566,0.586991548538208,8e-05
7,0.9175054430961609,0.8562876582145691,0.6121777296066284,9e-05
8,0.8838706612586975,0.8264825344085693,0.5738812685012817,0.0001
9,0.9070941805839539,0.8458589315414429,0.6123524904251099,0.00011000000000000002
10,0.8438646197319031,0.7863131165504456,0.5755149722099304,0.00012
11,0.8127123713493347,0.7601997256278992,0.5251264572143555,0.00013000000000000002
12,0.7800781726837158,0.7282072305679321,0.5187095999717712,0.00014
13,0.7968767285346985,0.7419942021369934,0.5488250255584717,0.00015000000000000001
14,0.7585857510566711,0.7078378200531006,0.5074793100357056,0.00016
15,0.7265185713768005,0.6779183745384216,0.4860018193721771,0.00017
16,0.6843382120132446,0.6381608843803406,0.46177300810813904,0.00018
17,0.7238867282867432,0.673021137714386,0.5086557865142822,0.00019
18,0.7125464677810669,0.6620165109634399,0.5052996873855591,0.0002
19,0.7482532262802124,0.6940923929214478,0.541608452796936,0.0002
