design,comparator,pairs,delta_r2_mean,delta_r2_sd,wins,losses
ratios,jitter,54,-0.021529955996407404,0.06108403961681047,19,35
ratios,gaussiana,54,0.07753637433052062,0.11398236680854419,42,12
ratios,block_bootstrap,54,0.011291507217619155,0.0630863549039324,40,14
ratios,vae,54,0.03505062615429913,0.07997978339990147,42,12
ratios,realnvp,54,-0.009995977083841964,0.08040153174609647,29,25
ratios,wgan_gp,54,0.16815983807599102,0.14794103442151346,52,2
curves,jitter,75,-0.0009255385398864757,0.05201079418480549,39,36
curves,gaussiana,75,0.10955496072769165,0.10412079442251186,71,4
curves,block_bootstrap,75,0.020474638938903812,0.06349304398533911,60,15
curves,vae,75,0.06390161991119385,0.11274679193241785,63,12
curves,realnvp,75,0.00028435627619425083,0.06816150647454185,36,39
curves,wgan_gp,75,0.12757867336273193,0.15324446010784853,69,6
