n_real,seed,fit_seconds,max_n_synth,sampling_seconds,checkpoint
250,0,46.31141500000376,20000,8.324932799994713,n250_seed0_d3d6cb8bb7_9a848366c7.pt
250,1,46.19258400000399,20000,8.02187199999753,n250_seed1_d3d6cb8bb7_7ca0902782.pt
250,2,48.917891399993096,20000,8.346750400000019,n250_seed2_d3d6cb8bb7_9b7c50ea90.pt
1000,0,49.01650280000467,20000,8.266065099989646,n1000_seed0_d3d6cb8bb7_32f306ced6.pt
1000,1,49.19227350001165,20000,8.287806599997566,n1000_seed1_d3d6cb8bb7_75f1f7b3c0.pt
1000,2,49.09391539999342,20000,8.413677499993355,n1000_seed2_d3d6cb8bb7_51319f3dfa.pt
3000,0,48.98573380000016,20000,8.335214399994584,n3000_seed0_d3d6cb8bb7_7a7d0a9ca1.pt
3000,1,48.84591959998943,20000,8.293740900000557,n3000_seed1_d3d6cb8bb7_8a35b376e6.pt
3000,2,48.36334100000386,20000,8.107241599995177,n3000_seed2_d3d6cb8bb7_9702b81834.pt
10000,0,50.93541140000161,20000,8.275607600007788,n10000_seed0_d3d6cb8bb7_b52b7bfb72.pt
10000,1,48.22889550001128,20000,8.421093800003291,n10000_seed1_d3d6cb8bb7_9a3b25f8e4.pt
10000,2,48.661026000001584,20000,8.087123600009363,n10000_seed2_d3d6cb8bb7_e2a845ee96.pt
20000,0,45.84458039999299,20000,7.927577800001018,n20000_seed0_d3d6cb8bb7_a435d2ef93.pt
20000,1,45.45033299998613,20000,7.965041900009965,n20000_seed1_d3d6cb8bb7_1957680996.pt
20000,2,45.51297969999723,20000,7.994957799994154,n20000_seed2_d3d6cb8bb7_d9b777795f.pt
