n_real,generador,ratio,seed,n_synth,n_train,val_mse,test_mse,test_mae,test_r2,epoca_mejor,segundos,receta
250,wgan_gp,2.0,0,500,750,0.8463321328163147,0.2794335186481476,0.4026891887187958,-0.1987038850784301,0,4.5,f16761a9
250,wgan_gp,2.0,1,500,750,0.6854034066200256,0.2339518219232559,0.3738301694393158,-0.0035980939865112,7,4.6,f16761a9
250,wgan_gp,2.0,2,500,750,0.8522878885269165,0.2810620069503784,0.4039465188980102,-0.2056896686553955,0,4.5,f16761a9
250,wgan_gp,4.0,0,1000,1250,0.8923496603965759,0.2922931611537933,0.4126031398773193,-0.2538686990737915,0,5.4,f16761a9
250,wgan_gp,4.0,1,1000,1250,0.6853764653205872,0.2339631021022796,0.3737304210662842,-0.0036464929580688,3,5.4,f16761a9
250,wgan_gp,4.0,2,1000,1250,0.731181263923645,0.2706722021102905,0.3909597992897033,-0.1611199378967285,93,5.4,f16761a9
250,wgan_gp,12.0,0,3000,3250,0.8897753953933716,0.2980501055717468,0.4116700887680053,-0.2785646915435791,85,8.6,f16761a9
250,wgan_gp,12.0,1,3000,3250,0.6813544631004333,0.2284490913152694,0.3662071228027344,0.020007312297821,94,8.6,f16761a9
250,wgan_gp,12.0,2,3000,3250,0.690518856048584,0.2613128423690796,0.3810724914073944,-0.1209704875946044,81,8.6,f16761a9
250,wgan_gp,28.0,0,7000,7250,0.8866023421287537,0.2931948602199554,0.4080075323581695,-0.2577368021011352,96,15.2,f16761a9
250,wgan_gp,28.0,1,7000,7250,0.6684306263923645,0.2254842072725296,0.3639948666095733,0.0327259302139282,93,15.1,f16761a9
250,wgan_gp,28.0,2,7000,7250,0.6158140301704407,0.2260667830705642,0.35397669672966,0.0302268266677856,95,15.2,f16761a9
250,wgan_gp,80.0,0,20000,20250,0.6696577668190002,0.2257475554943084,0.355663001537323,0.0315962433815002,94,36.0,f16761a9
250,wgan_gp,80.0,1,20000,20250,0.556165337562561,0.1999693214893341,0.3378230929374695,0.1421787738800048,99,36.0,f16761a9
250,wgan_gp,80.0,2,20000,20250,0.5444560647010803,0.2078343629837036,0.3373443484306335,0.1084396243095398,53,36.0,f16761a9
1000,wgan_gp,0.5,0,500,1500,0.4732337892055511,0.1693946719169616,0.3072889745235443,0.2733368277549743,99,6.2,f16761a9
1000,wgan_gp,0.5,1,500,1500,0.6596552729606628,0.2275505661964416,0.3658013939857483,0.0238617658615112,99,6.3,f16761a9
1000,wgan_gp,0.5,2,500,1500,0.4417480230331421,0.1717487275600433,0.3158204555511474,0.2632384896278381,52,6.3,f16761a9
1000,wgan_gp,1.0,0,1000,2000,0.6106421947479248,0.2041672617197036,0.3374894857406616,0.1241706013679504,99,7.2,f16761a9
1000,wgan_gp,1.0,1,1000,2000,0.6868032813072205,0.2341971099376678,0.3747528791427612,-0.0046503543853759,3,7.1,f16761a9
1000,wgan_gp,1.0,2,1000,2000,0.453666478395462,0.1721492856740951,0.3197769522666931,0.2615201473236084,59,7.1,f16761a9
1000,wgan_gp,3.0,0,3000,4000,0.5673678517341614,0.1923805326223373,0.328687310218811,0.1747328639030456,91,10.3,f16761a9
1000,wgan_gp,3.0,1,3000,4000,0.5183054804801941,0.1794043034315109,0.3227825462818146,0.230397880077362,72,10.3,f16761a9
1000,wgan_gp,3.0,2,3000,4000,0.4380050599575043,0.1598178446292877,0.3084094226360321,0.314419150352478,86,10.4,f16761a9
1000,wgan_gp,7.0,0,7000,8000,0.4503207802772522,0.1646801382303238,0.3032659590244293,0.293561041355133,80,16.8,f16761a9
1000,wgan_gp,7.0,1,7000,8000,0.4697431623935699,0.1631134301424026,0.3054912984371185,0.3002818822860718,96,16.9,f16761a9
1000,wgan_gp,7.0,2,7000,8000,0.4046427011489868,0.1501887291669845,0.2953924536705017,0.3557257652282715,79,16.8,f16761a9
1000,wgan_gp,20.0,0,20000,21000,0.51877361536026,0.1836247593164444,0.3210946321487427,0.2122930884361267,50,37.8,f16761a9
1000,wgan_gp,20.0,1,20000,21000,0.4176971614360809,0.1538626849651336,0.295501559972763,0.3399654030799866,54,37.7,f16761a9
1000,wgan_gp,20.0,2,20000,21000,0.405487060546875,0.1476083695888519,0.2965481877326965,0.3667948842048645,38,37.7,f16761a9
3000,wgan_gp,0.1666666666666666,0,500,3500,0.5116080045700073,0.1789780855178833,0.3154430985450744,0.2322262525558471,29,11.8,f16761a9
3000,wgan_gp,0.1666666666666666,1,500,3500,0.4071429967880249,0.1527060121297836,0.2926793992519378,0.3449272513389587,71,11.6,f16761a9
3000,wgan_gp,0.1666666666666666,2,500,3500,0.3824427127838135,0.1475783735513687,0.2874038517475128,0.3669235706329345,83,11.6,f16761a9
3000,wgan_gp,0.3333333333333333,0,1000,4000,0.5689233541488647,0.1979083269834518,0.3318706452846527,0.1510199308395385,34,12.5,f16761a9
3000,wgan_gp,0.3333333333333333,1,1000,4000,0.4225087761878967,0.156533733010292,0.2958841323852539,0.3285071849822998,91,12.5,f16761a9
