n_real,generador,ratio,seed,n_synth,n_train,val_mse,test_mse,test_mae,test_r2,epoca_mejor,segundos,receta
250,wgan_gp,0.248,0,62,312,0.8462679386138916,0.2794175446033478,0.4026771485805511,-0.1986353397369384,0,3.8,f16761a9
250,wgan_gp,0.248,1,62,312,0.6847363114356995,0.2292611747980117,0.3639416396617889,0.0165236592292785,99,3.7,f16761a9
250,wgan_gp,0.248,2,62,312,0.7277053594589233,0.2620054185390472,0.3894772827625274,-0.123941421508789,99,3.8,f16761a9
250,wgan_gp,0.5,0,125,375,0.8463923335075378,0.2794522941112518,0.4027037620544433,-0.1987844705581665,0,3.8,f16761a9
250,wgan_gp,0.5,1,125,375,0.6858556270599365,0.234040305018425,0.3741575181484222,-0.0039776563644409,7,3.9,f16761a9
250,wgan_gp,0.5,2,125,375,0.7733545899391174,0.2778827250003814,0.398229569196701,-0.1920512914657592,90,3.8,f16761a9
250,wgan_gp,0.752,0,188,438,0.8463345766067505,0.2794341444969177,0.4026899337768554,-0.1987065076828003,0,3.9,f16761a9
250,wgan_gp,0.752,1,188,438,0.6854309439659119,0.2339430451393127,0.3738726675510406,-0.0035604238510131,7,3.8,f16761a9
250,wgan_gp,0.752,2,188,438,0.7913529872894287,0.2828491330146789,0.4006155431270599,-0.2133560180664062,99,4.0,f16761a9
250,wgan_gp,1.0,0,250,500,0.8463015556335449,0.2794241309165954,0.4026821851730346,-0.198663592338562,0,3.9,f16761a9
250,wgan_gp,1.0,1,250,500,0.6853517293930054,0.2339370250701904,0.3737820088863373,-0.0035346746444702,7,3.9,f16761a9
250,wgan_gp,1.0,2,250,500,0.8138293623924255,0.2887878119945526,0.4042125642299652,-0.2388316392898559,99,3.9,f16761a9
250,wgan_gp,3.0,0,750,1000,0.8462927341461182,0.2794218063354492,0.4026801586151123,-0.1986536979675293,0,4.7,f16761a9
250,wgan_gp,3.0,1,750,1000,0.685269296169281,0.2339218854904174,0.3736961483955383,-0.003469705581665,7,4.7,f16761a9
250,wgan_gp,3.0,2,750,1000,0.8523247838020325,0.2810725271701813,0.4039546251296997,-0.2057348489761352,0,4.8,f16761a9
250,wgan_gp,5.0,0,1250,1500,0.892778217792511,0.2924075424671173,0.4126915037631988,-0.2543593645095825,0,5.5,f16761a9
