n_real,generador,ratio,test_r2_media,test_r2_sd,test_mse_media,n_train,n_seeds
250,block_bootstrap,2.0,0.10836901267369585,0.0952591668922481,0.20785081883271528,750,3
250,block_bootstrap,4.0,0.16443377733230585,0.04949934285627927,0.19478139281272885,1250,3
250,block_bootstrap,12.0,0.24163681268692014,0.055255859888230605,0.17678435643513993,3250,3
250,block_bootstrap,28.0,0.26993978023529047,0.04361611292224278,0.17018656929333997,7250,3
250,block_bootstrap,80.0,0.27296704053878784,0.048134438019931204,0.16948087513446808,20250,3
250,diffusion_ts,2.0,0.023180623849232963,0.16274443308412787,0.22770934800306952,750,3
250,diffusion_ts,4.0,0.21140899260838822,0.13827559434696302,0.18383085727691648,1250,3
250,diffusion_ts,12.0,0.2814727822939555,0.104216834301194,0.1674980719884236,3250,3
250,diffusion_ts,28.0,0.29004790385564166,0.12022667129008033,0.16549910108248386,7250,3
250,diffusion_ts,80.0,0.3111299475034078,0.14364832148496864,0.16058459877967832,20250,3
250,gaussiana,2.0,-0.0006278554598490305,0.0940356063597969,0.2332594096660614,750,3
250,gaussiana,4.0,0.12616833051045728,0.07989155278476215,0.20370156566301978,1250,3
250,gaussiana,12.0,0.16662075122197467,0.04593131033308138,0.19427157938480377,3250,3
250,gaussiana,28.0,0.12623739242553708,0.027535593714474227,0.20368546744187668,7250,3
250,gaussiana,80.0,0.06177874406178787,0.04185243865946912,0.21871161957581833,20250,3
250,jitter,2.0,0.13236333926518754,0.11203883636308641,0.2022574295600255,750,3
250,jitter,4.0,0.1964796781539917,0.0792028595587184,0.18731107811133063,1250,3
250,jitter,12.0,0.26685001452763873,0.05176171948159114,0.17090683182080582,3250,3
250,jitter,28.0,0.2840692996978759,0.046912098108105746,0.16689279178778327,7250,3
250,jitter,80.0,0.26380300521850586,0.041769952119785146,0.1716171304384867,20250,3
250,ninguno,0.0,0.1514220635096232,0.11491466350629248,0.1978145887454351,250,3
250,realnvp,2.0,0.11511514584223431,0.13911537593359669,0.20627819995085392,750,3
250,realnvp,4.0,0.15629063049952183,0.13449624937899612,0.1966796666383743,1250,3
250,realnvp,12.0,0.21434626976648963,0.09882253868316032,0.18314613898595167,3250,3
250,realnvp,28.0,0.2623243331909179,0.09506128000842481,0.17196182409922275,7250,3
250,realnvp,80.0,0.2881051500638326,0.0873885788430869,0.1659519771734873,20250,3
250,vae,2.0,0.08119161923726397,0.10669041586901302,0.21418622632821396,750,3
250,vae,4.0,0.09701975186665852,0.140703753148817,0.21049648026625312,1250,3
250,vae,12.0,0.11410427093505858,0.12035935995517122,0.20651385684808096,3250,3
250,vae,28.0,0.04595287640889484,0.12475860036518928,0.22240082919597617,7250,3
