n_real,generador,ratio,delta_medio,delta_sd,n_seeds,ee,t,veredicto
250,block_bootstrap,0.248,-0.027781804402669294,0.04138393793172118,3,0.023893027705005992,-1.1627578030576902,no concluyente
250,block_bootstrap,0.5,-0.03671493132909139,0.02520248403274528,3,0.014550660940552733,-2.52324835820803,empeora
250,block_bootstrap,0.752,-0.04031868775685633,0.03449184715866929,3,0.019913877241905145,-2.024652822104023,no concluyente
250,block_bootstrap,1.0,-0.04347823063532516,0.04030297549327964,3,0.02326893375018789,-1.8685097951673049,no concluyente
250,block_bootstrap,3.0,-0.050739626089731836,0.050620284950296995,3,0.029225635142509535,-1.7361342479749764,no concluyente
250,block_bootstrap,5.0,0.019086837768554674,0.09958391468178915,3,0.05749479994848769,0.33197502705732473,no concluyente
250,diffusion_ts,0.25,-0.014574050903320326,0.04877370375727111,3,0.028159510993635537,-0.517553408744004,no concluyente
250,diffusion_ts,0.5,-0.08135477701822916,0.09272304487171097,3,0.053533674916764085,-1.5196934853570623,no concluyente
250,diffusion_ts,0.75,-0.07384548584620164,0.08992932266856056,3,0.05192071865073416,-1.422273954699151,no concluyente
250,diffusion_ts,1.0,-0.05834996700286866,0.12196333357042832,3,0.07041556346815092,-0.828651566911915,no concluyente
250,diffusion_ts,3.0,-0.11472056309382123,0.23252589522135064,3,0.1342488881996055,-0.8545364109328865,no concluyente
250,diffusion_ts,5.0,0.076496422290802,0.042412865594289015,3,0.02448707936796618,3.1239504369342663,mejora
250,gaussiana,0.248,-0.013065059979756691,0.05417406759225773,3,0.03127741250748698,-0.417715499216224,no concluyente
250,gaussiana,0.5,-0.0187219182650248,0.031789930959217616,3,0.018353925196823908,-1.0200498293555524,no concluyente
250,gaussiana,0.752,-0.05118695894877116,0.0319770404752723,3,0.01846195292628602,-2.7725646984990124,empeora
250,gaussiana,1.0,-0.06087841590245563,0.0426828263285426,3,0.02464294127055812,-2.470420037692069,no concluyente
250,gaussiana,3.0,-0.1081391175587972,0.08091802563697117,3,0.04671804388379835,-2.3147184378646353,no concluyente
250,gaussiana,5.0,-0.010891914367675795,0.04865788446325173,3,0.028092642693056096,-0.3877141245372421,no concluyente
250,jitter,0.248,-0.006191591421763097,0.035636469907710536,3,0.020574725494184678,-0.3009319090800562,no concluyente
250,jitter,0.5,0.009609242280324311,0.020018967965860595,3,0.011557956543988111,0.8313962977584107,no concluyente
250,jitter,0.752,0.00661943356196083,0.011008204659650767,3,0.006355589923543863,1.0415136347044003,no concluyente
250,jitter,1.0,0.0006114840507506989,0.01011083321529286,3,0.005837492278580742,0.10475115367507909,no concluyente
250,jitter,3.0,-0.027123630046844493,0.10409796293791827,3,0.060100986924298806,-0.4513009092680709,no concluyente
250,jitter,5.0,0.07637747128804523,0.049749539334352375,3,0.02872290992674822,2.6591132821441144,mejora
250,realnvp,0.248,-0.02665702501932776,0.06180498139633306,3,0.035683122646432704,-0.7470485496311434,no concluyente
250,realnvp,0.5,-0.02277286847432453,0.052159866488523894,3,0.030114512958044213,-0.7562090911465803,no concluyente
250,realnvp,0.752,-0.028009434541066466,0.06358915794808659,3,0.03671321745886943,-0.7629250847449154,no concluyente
250,realnvp,1.0,-0.019771039485931396,0.05165782686374895,3,0.02982466024553654,-0.6629091269829391,no concluyente
250,realnvp,3.0,-0.0688666899998983,0.05037340754179903,3,0.029083100404256396,-2.3679280765340773,no concluyente
250,realnvp,5.0,0.020903468132019005,0.017870180783567977,3,0.01031735368586025,2.026049389066388,no concluyente
250,vae,0.248,-0.008530040582021094,0.016563234415035315,3,0.009562787848171514,-0.8920035367774168,no concluyente
250,vae,0.5,0.005349357922871868,0.01715768632590789,3,0.009905994818934082,0.5400121866253386,no concluyente
250,vae,0.752,-0.0290471911430359,0.018956084268243113,3,0.010944300355051392,-2.654093016519693,empeora
250,vae,1.0,-0.03281996647516889,0.03795684592513984,3,0.02191439521246864,-1.4976441812318555,no concluyente
250,vae,3.0,-0.15187235673268631,0.11741690754017124,3,0.06779068317573127,-2.2403131170546438,no concluyente
250,vae,5.0,0.018662452697753875,0.08926052974617364,3,0.05153459087696195,0.3621344883150464,no concluyente
1000,block_bootstrap,0.25,0.10242760181427002,0.11770387867761116,3,0.06795636603918186,1.5072554314516016,no concluyente
1000,block_bootstrap,0.5,0.09339628616968791,0.11679924690824846,3,0.06743407664362282,1.385001334907732,no concluyente
1000,block_bootstrap,0.75,0.06443500518798827,0.1463492206546516,3,0.08449476194065506,0.7625917122915173,no concluyente
1000,block_bootstrap,1.0,0.06108071406682334,0.14922129357864466,3,0.08615295401645467,0.7089799155947375,no concluyente
1000,block_bootstrap,3.0,0.09665634234746297,0.16766860199175657,3,0.09680351249458888,0.9984797024061071,no concluyente
1000,block_bootstrap,5.0,0.10251589616139728,0.1669365943829857,3,0.09638088770461617,1.0636537865845708,no concluyente
1000,diffusion_ts,0.25,0.09886648257573444,0.14849681149966784,3,0.08573467409313434,1.1531679990797525,no concluyente
1000,diffusion_ts,0.5,0.10276218255360921,0.14251514190856418,3,0.08228115554450725,1.2489151601428765,no concluyente
1000,diffusion_ts,0.75,0.09455138444900513,0.15064087318838912,3,0.08697254868627674,1.0871405504059264,no concluyente
1000,diffusion_ts,1.0,0.10513170560201006,0.1618167012763197,3,0.09342491604126044,1.125306931563946,no concluyente
1000,diffusion_ts,3.0,0.13889439900716144,0.14931736925325925,3,0.08620842333305598,1.6111464940097497,no concluyente
1000,diffusion_ts,5.0,0.1581819256146749,0.14230876384184685,3,0.08216200311213316,1.925244268920649,no concluyente
1000,gaussiana,0.25,0.06160755952199298,0.05344223445166175,3,0.030854888446762003,1.99668715796178,no concluyente
1000,gaussiana,0.5,0.06390215953191121,0.06321627528314953,3,0.03649793355189187,1.7508432207828064,no concluyente
1000,gaussiana,0.75,0.05167559782663983,0.05933851376126354,3,0.03425910689337782,1.508375509830601,no concluyente
1000,gaussiana,1.0,0.03435589869817098,0.06276026902201003,3,0.03623465821427082,0.9481502073238848,no concluyente
1000,gaussiana,3.0,0.0025575160980224657,0.0888652046679513,3,0.05130634983663287,0.049847944867759675,no concluyente
1000,gaussiana,5.0,-0.045359373092651395,0.16156770017318348,3,0.09328115518733623,-0.486265130417353,no concluyente
1000,jitter,0.25,0.09855894247690833,0.10172635983159808,3,0.05873174123245389,1.6781205598319089,no concluyente
1000,jitter,0.5,0.11490819851557414,0.12222635657612385,3,0.0705674198712923,1.6283463207972584,no concluyente
1000,jitter,0.75,0.11564703782399495,0.12784903192317362,3,0.07381367299647736,1.5667427609179403,no concluyente
1000,jitter,1.0,0.11737676461537679,0.11333466232960124,3,0.06543379780451061,1.7938247290192522,no concluyente
1000,jitter,3.0,0.164796769618988,0.1381966612455474,3,0.07978787957122431,2.065436135219996,no concluyente
1000,jitter,5.0,0.17462476094563803,0.14660519447833228,3,0.08464254849666258,2.0630848674472912,no concluyente
1000,realnvp,0.25,0.10686500867207845,0.11085118512995723,3,0.06399996157476985,1.6697667630195407,no concluyente
1000,realnvp,0.5,0.10592641433080037,0.1373902320821732,3,0.07932228747666786,1.3353928347308182,no concluyente
1000,realnvp,0.75,0.10590463876724243,0.12234084564329946,3,0.0706335201650454,1.4993538269051434,no concluyente
1000,realnvp,1.0,0.10434887806574504,0.12454892502628793,3,0.07190835539120587,1.451137041002422,no concluyente
1000,realnvp,3.0,0.14682358503341672,0.16234882141813511,3,0.0937321357483788,1.566416724223167,no concluyente
1000,realnvp,5.0,0.13070873419443763,0.19202360203389568,3,0.11086487832503125,1.1789913647064003,no concluyente
1000,vae,0.25,0.09531462192535402,0.10533553604626793,3,0.06081550009154632,1.5672751483071872,no concluyente
1000,vae,0.5,0.09149364630381267,0.10913089716987125,3,0.06300675285793053,1.4521244494239405,no concluyente
1000,vae,0.75,0.06358885765075684,0.1119075670806192,3,0.0646098639783516,0.9841973614441154,no concluyente
1000,vae,1.0,0.0640545884768168,0.10959898572342316,3,0.06327700391032832,1.0122885806602098,no concluyente
1000,vae,3.0,0.06545621156692508,0.14940196683090676,3,0.08625726576728356,0.7588486718732963,no concluyente
1000,vae,5.0,0.06275564432144168,0.131892593809795,3,0.07614822454020312,0.8241248525539724,no concluyente
3000,block_bootstrap,0.25,0.014271736145019531,0.02327218497973108,3,0.013436202262678505,1.0621852712549493,no concluyente
3000,block_bootstrap,0.5,0.027541021505991598,0.0234162771760627,3,0.01351939393101869,2.0371491241779633,no concluyente
3000,block_bootstrap,0.75,0.03431860605875651,0.020100087993672647,3,0.011604791213882068,2.9572790605403876,mejora
3000,block_bootstrap,1.0,0.017309765021006267,0.023259504775118976,3,0.013428881343132328,1.2889953063632262,no concluyente
3000,block_bootstrap,3.0,0.019010623296101852,0.0063815464915663355,3,0.003684387584751936,5.159778350892963,mejora
3000,block_bootstrap,5.0,0.01893724997838338,0.006315995811044491,3,0.0036465418817070855,5.1932078645201605,mejora
3000,diffusion_ts,0.25,0.013561626275380434,0.007913219740872907,3,0.004568699547549634,2.968377792024876,mejora
3000,diffusion_ts,0.5,0.02573057015736896,0.011764760253863929,3,0.00679238749951975,3.788148152499871,mejora
3000,diffusion_ts,0.75,0.038469394048055015,0.017845653506361504,3,0.010303192855762604,3.733735220392286,mejora
3000,diffusion_ts,1.0,0.04444964726765952,0.020071720462026245,3,0.011588413211849773,3.8356974725588295,mejora
3000,diffusion_ts,3.0,0.058048486709594706,0.018617545897037922,3,0.010748845135305057,5.400439394082615,mejora
3000,diffusion_ts,5.0,0.06290215253829955,0.013619909394971534,3,0.007863458355525129,7.9992987429128295,mejora
3000,gaussiana,0.25,-0.038783133029937765,0.03572697628021507,3,0.020626979372713544,-1.8802138853758752,no concluyente
3000,gaussiana,0.5,-0.0687256256739299,0.05320929308654016,3,0.030720399686903658,-2.2371331875355827,no concluyente
3000,gaussiana,0.75,-0.08490349849065144,0.07803132504846842,3,0.04505140652195643,-1.8845915154562942,no concluyente
3000,gaussiana,1.0,-0.10120201110839844,0.08710718129726232,3,0.05029135457032394,-2.012314282902931,no concluyente
3000,gaussiana,3.0,-0.15235336621602377,0.05025007843105586,3,0.02901189630896991,-5.251410131674816,empeora
3000,gaussiana,5.0,-0.18034154176712036,0.026559279684027194,3,0.01533400727505566,-11.760887974827554,empeora
3000,jitter,0.25,0.019882222016652445,0.006370612258704564,3,0.0036780747024658103,5.405605819621675,mejora
3000,jitter,0.5,0.031711856524149595,0.013421308687827836,3,0.0077487961837944645,4.0924881455096935,mejora
3000,jitter,0.75,0.031244953473409037,0.005587076076653413,3,0.0032256998768387664,9.686255593012438,mejora
3000,jitter,1.0,0.03229337930679319,0.010446060450409408,3,0.006031035813014975,5.3545328378093995,mejora
3000,jitter,3.0,0.05230257908503214,0.03477676772595227,3,0.020078376208123635,2.604920763655714,mejora
3000,jitter,5.0,0.049490869045257534,0.03909531883387437,3,0.022571692852791616,2.19260776619759,no concluyente
3000,realnvp,0.25,0.01857334375381466,0.020350238418524673,3,0.011749215629008285,1.5808156340205306,no concluyente
3000,realnvp,0.5,0.037868479887644434,0.01813434857927564,3,0.010469871033823299,3.616900319527235,mejora
3000,realnvp,0.75,0.03304171562194824,0.020680067328622865,3,0.011939642439039997,2.7673957399184017,mejora
3000,realnvp,1.0,0.05148118734359741,0.018164782770144845,3,0.010487442222114203,4.908841093307032,mejora
3000,realnvp,3.0,0.07733529806137081,0.022956042547821267,3,0.013253677344513111,5.835006847619302,mejora
3000,realnvp,5.0,0.08142542839050294,0.013337379879139322,3,0.007700339863505387,10.574264231687568,mejora
3000,vae,0.25,-0.015346825122833252,0.01776502217981171,3,0.010256640337673963,-1.496281883499647,no concluyente
3000,vae,0.5,-0.02379574378331506,0.012055311214723152,3,0.006960137174985126,-3.4188613219919635,empeora
3000,vae,0.75,-0.02318702141443892,0.017880084644177268,3,0.01032307168244904,-2.2461358525545028,no concluyente
3000,vae,1.0,-0.029844721158345522,0.02378142753918793,3,0.013730213591463732,-2.1736530870066293,no concluyente
3000,vae,3.0,-0.04218796888987222,0.03584883144044853,3,0.020697332482276478,-2.03832880039003,no concluyente
3000,vae,5.0,-0.0657532811164856,0.03423160928072238,3,0.01976362883301916,-3.3269842128704306,empeora
