n_real,generador,ratio,test_r2_media,test_r2_sd,test_mse_media,n_train,n_seeds
250,block_bootstrap,0.248,0.1236402591069539,0.09185470695371163,0.20429089168707526,312,3
250,block_bootstrap,0.5,0.11470713218053182,0.09154925545659454,0.20637332399686173,375,3
250,block_bootstrap,0.752,0.11110337575276685,0.08059335171435447,0.2072134017944335,438,3
250,block_bootstrap,1.0,0.10794383287429803,0.07817467251818848,0.2079499363899231,500,3
250,block_bootstrap,3.0,0.10068243741989136,0.0904998121797384,0.20964266359806058,1000,3
250,block_bootstrap,5.0,0.17050890127817786,0.04433010503312915,0.19336520135402677,1500,3
250,diffusion_ts,0.25,0.13684801260630286,0.10918630463231206,0.20121199389298752,312,3
250,diffusion_ts,0.5,0.07006728649139403,0.04470258525935231,0.2167794505755106,375,3
250,diffusion_ts,0.75,0.07757657766342158,0.0524408091887804,0.21502893666426337,438,3
250,diffusion_ts,1.0,0.09307209650675453,0.10330136920927722,0.21141673127810157,500,3
250,diffusion_ts,3.0,0.03670150041580197,0.1860626276638115,0.22455745438734687,1000,3
250,diffusion_ts,5.0,0.2279184858004252,0.15149976040238677,0.1799822747707366,1500,3
250,gaussiana,0.248,0.1383570035298665,0.13151939442221663,0.2008602271477381,312,3
250,gaussiana,0.5,0.1327001452445984,0.1303879619459952,0.2021789153416951,375,3
250,gaussiana,0.752,0.10023510456085204,0.10153080667306591,0.2097469369570414,438,3
250,gaussiana,1.0,0.09054364760716756,0.09726954070283225,0.21200614670912418,500,3
250,gaussiana,3.0,0.043282945950826,0.04124881214415026,0.22302323579788205,1000,3
250,gaussiana,5.0,0.1405301491419474,0.06766945030066708,0.20035364230473832,1500,3
250,jitter,0.248,0.1452304720878601,0.11865553683722192,0.19925793508688605,312,3
250,jitter,0.5,0.1610313057899475,0.12693314807828543,0.195574551820755,375,3
250,jitter,0.752,0.15804149707158402,0.12078991412635301,0.19627151886622107,438,3
250,jitter,1.0,0.1520335475603739,0.11443108522823003,0.19767204423745469,500,3
250,jitter,3.0,0.12429843346277869,0.11375758487969762,0.20413746436436964,1000,3
250,jitter,5.0,0.22779953479766843,0.10357404962362018,0.18001000583171842,1500,3
250,ninguno,0.0,0.1514220635096232,0.11491466350629248,0.1978145887454351,250,3
250,realnvp,0.248,0.12476503849029545,0.13984127516769937,0.2040286908547083,312,3
250,realnvp,0.5,0.12864919503529867,0.13914498458469107,0.2031232466300328,375,3
250,realnvp,0.752,0.12341262896855672,0.14173127282377146,0.20434395472208655,438,3
250,realnvp,1.0,0.1316510240236918,0.14029296377381337,0.2024234781662623,500,3
250,realnvp,3.0,0.0825553735097249,0.09662320490784654,0.2138683199882507,1000,3
250,realnvp,5.0,0.17232553164164222,0.13204091775934532,0.1929417252540588,1500,3
250,vae,0.248,0.14289202292760209,0.11958074771910146,0.1998030592997869,312,3
250,vae,0.5,0.15677142143249506,0.13060771255816475,0.1965675850709279,375,3
250,vae,0.752,0.12237487236658728,0.09672692066657818,0.20458587010701493,438,3
250,vae,1.0,0.1186020970344543,0.09689543426488739,0.20546535650889078,500,3
