brazo,seed,n_train,val_mse,val_mae,val_r2,epoca_mejor,segundos
block_bootstrap,42,92165,0.1327992975711822,0.2789937555789947,0.3092720508575439,26,151.91679883003235
block_bootstrap,43,92165,0.1320431381464004,0.2782679200172424,0.3132050633430481,35,154.275710105896
block_bootstrap,44,92165,0.1306703984737396,0.277586281299591,0.3203451037406921,43,151.17449855804443
diffusion_ts,42,92165,0.1004899740219116,0.2425673305988311,0.4773222804069519,64,176.99804782867432
diffusion_ts,43,92165,0.1011200696229934,0.2432282865047454,0.4740449786186218,61,175.69425129890442
diffusion_ts,44,92165,0.0998696610331535,0.2411943674087524,0.4805487394332886,74,175.6167449951172
gaussiana,42,92165,0.2318266928195953,0.369498074054718,-0.2057982683181762,94,150.52326846122742
gaussiana,43,92165,0.2331421375274658,0.3709005117416382,-0.2126402854919433,79,150.632390499115
gaussiana,44,92165,0.2244590669870376,0.363522469997406,-0.1674771308898925,46,150.49029684066772
jitter,42,92165,0.1017267331480979,0.2442236393690109,0.4708895683288574,92,151.8929374217987
jitter,43,92165,0.1024778336286544,0.2453095614910125,0.4669828414916992,98,150.68098497390747
jitter,44,92165,0.1042217090725898,0.247081384062767,0.4579124450683594,86,150.50776743888855
real,42,92165,0.0949362739920616,0.2373576909303665,0.5062087178230286,63,151.14949536323547
real,43,92165,0.0971800535917282,0.2388325929641723,0.4945381879806518,50,151.40171003341675
real,44,92165,0.0940191820263862,0.235553041100502,0.5109788179397583,51,150.85196709632874
realnvp,42,92165,0.0990462228655815,0.2376149892807006,0.484831690788269,53,150.40807175636292
realnvp,43,92165,0.10280192643404,0.241862878203392,0.4652971625328064,89,151.98341298103333
realnvp,44,92165,0.0997739061713218,0.2376023083925247,0.4810467958450317,52,150.38603448867798
vae,42,92165,0.1267757266759872,0.2628665268421173,0.3406023979187011,87,150.57481908798218
vae,43,92165,0.1275522857904434,0.2648803293704986,0.3365632891654968,43,151.19602489471436
vae,44,92165,0.1296543627977371,0.2674027383327484,0.3256297707557678,53,150.7342824935913
